106 1728
47 71 21657
55 97 19123
102 103 41548
84 99 64944
33 56 42936
80 81 79390
56 103 83407
19 25 40669
54 87 73031
43 66 87819
76 81 77712
53 74 99157
14 74 12067
65 88 73000
8 87 80945
64 84 46723
46 63 46749
51 85 94094
76 92 89689
71 100 76546
62 76 38943
43 88 14250
74 102 96987
21 35 44856
8 77 1190
89 99 56348
8 63 13746
43 48 1315
15 66 61400
12 99 64169
91 96 69997
90 93 81134
23 86 48199
88 96 85990
95 98 79270
103 105 42188
29 30 26843
38 78 59549
57 101 1597
4 5 24140
92 102 30887
68 83 21907
85 105 76131
33 96 75406
17 19 47260
17 28 11785
67 92 53970
94 104 42234
36 97 86114
19 43 96088
12 105 79881
43 62 92385
20 96 96725
24 79 38676
84 87 81146
91 94 23758
68 69 12329
39 92 30207
64 69 67189
98 106 916
12 58 85088
2 102 61294
94 103 32208
51 61 4227
19 98 59317
82 93 69221
14 36 33673
43 87 88389
91 100 83080
57 103 43517
100 106 87564
51 68 48343
91 92 90416
98 101 97944
54 80 15236
62 69 9279
61 71 33330
36 99 17457
15 52 88019
64 68 90043
11 31 89680
6 57 91447
30 103 58543
38 68 99877
16 95 10978
40 84 4513
100 102 82445
42 102 12871
90 97 6517
28 55 51601
82 94 48047
83 85 2317
85 86 28717
48 98 27450
41 106 32237
44 55 85912
95 101 48420
33 76 32003
20 32 29802
10 76 41032
49 96 98320
94 101 57710
93 99 78378
75 93 91800
61 105 4898
73 105 55451
74 105 70582
49 82 32746
76 98 95868
29 61 64681
4 88 95832
54 86 60068
58 104 15426
48 66 95359
75 83 54306
81 91 63230
59 95 80945
1 6 28915
81 97 21570
36 106 44429
54 100 92743
73 102 26914
48 61 86415
30 69 30479
54 63 62372
42 52 90805
85 94 76763
88 102 30802
1 96 94187
35 85 16625
67 103 18371
54 94 53238
51 63 94246
34 56 75082
38 58 83922
29 37 45058
86 89 17184
71 74 4362
42 60 8350
96 104 22234
60 82 95958
36 67 21936
34 83 76803
83 103 61513
7 43 10999
53 103 30827
27 66 40857
44 53 98727
26 75 43092
56 96 61691
30 38 18406
44 74 83122
61 67 83358
64 83 73908
85 91 97998
87 88 32957
93 95 91147
29 32 49594
48 94 24755
50 82 42391
42 99 3759
25 68 93831
5 34 69443
2 61 27734
16 65 34340
77 84 35578
25 47 23020
6 34 42583
42 59 80302
7 52 9011
35 45 27024
3 23 77682
37 94 53787
49 62 94144
72 94 93238
31 101 59881
78 93 96361
45 96 38560
16 93 15430
66 88 90257
28 105 65919
60 104 65058
52 56 21118
7 29 66779
49 56 24960
8 47 17506
74 100 85592
73 88 5145
104 105 70014
75 92 9578
71 98 88526
6 15 81904
53 64 22272
21 90 26997
71 88 69862
85 104 84170
40 71 27819
46 74 66127
50 84 10345
74 104 40716
22 33 77730
97 103 18123
24 52 60284
73 98 10637
10 31 27611
6 85 70674
35 69 62575
92 96 99632
99 106 29965
17 80 47066
62 66 37340
33 84 9417
41 98 41184
47 49 68975
11 64 18894
94 99 4401
30 53 65099
20 97 16062
19 78 83445
61 90 79108
50 71 13083
79 92 89894
59 102 27721
36 63 2738
84 93 62958
35 84 61198
86 92 34245
88 106 12266
39 85 79529
39 106 88423
13 97 53959
72 101 7114
86 87 36158
34 65 77621
87 93 93576
85 87 15506
77 81 56640
96 99 2454
52 77 85172
78 102 84715
72 85 84259
15 56 15790
62 99 47478
40 88 87517
4 50 55531
57 66 21245
26 102 84758
27 88 16469
26 76 78665
88 103 90572
82 101 60223
13 55 81536
40 66 88691
9 97 50569
44 98 93543
25 82 10021
95 105 51979
65 97 58036
8 73 11466
47 65 51226
65 87 59148
50 53 12095
29 54 69400
64 95 56952
9 59 97081
101 106 27843
97 106 37177
67 80 38479
75 100 44791
95 99 5741
71 73 98447
59 94 49623
95 103 79013
5 44 70738
17 30 91729
6 37 47289
3 35 59384
53 57 41698
15 40 45215
39 50 36421
83 102 21163
38 87 62810
79 87 63331
56 71 19384
12 21 9648
16 55 84037
17 22 6460
86 104 22403
29 31 26955
102 104 78576
89 93 5494
71 97 67363
65 78 54923
55 70 69375
3 24 83765
46 67 60170
78 84 5719
83 106 28692
100 104 71585
40 103 28779
24 36 76034
19 30 32838
19 67 79031
45 77 85428
7 91 62427
20 89 79461
84 102 67326
9 55 4374
71 81 97450
27 76 56165
46 100 47049
17 44 69864
46 65 25800
91 102 19581
66 72 4723
26 74 57060
11 78 2824
51 93 20363
85 89 52990
25 100 31038
28 83 30811
76 97 26002
18 39 79717
9 31 63476
10 37 27669
41 43 74120
36 54 7527
65 95 55179
24 81 91322
8 11 79520
56 63 45586
69 102 65825
2 86 81538
47 53 40004
50 67 87892
73 83 2793
14 54 69392
84 96 66008
42 80 11366
35 60 41736
13 96 91091
35 68 19046
68 78 82107
51 80 93732
12 13 32847
39 54 1473
17 90 99078
71 95 48959
26 30 93205
27 33 50523
40 96 73684
25 103 96148
1 74 15661
43 84 7994
60 65 68213
49 65 43741
10 70 72674
7 97 43468
67 74 87463
24 50 72789
1 41 57779
16 28 65906
40 50 61155
98 102 10762
15 77 53504
57 59 2672
79 96 72425
7 92 69800
71 78 35082
38 96 5293
4 96 19609
11 27 48116
2 18 15693
84 104 60597
43 91 20319
42 74 45218
7 79 14052
41 101 60958
22 27 95314
34 47 52183
17 85 67484
89 95 85978
10 15 37923
79 84 95995
5 100 4662
51 70 54865
46 75 17168
31 83 35796
11 41 14822
30 47 36437
87 104 97993
102 106 61913
78 90 64844
34 43 82968
63 82 85573
29 60 11464
38 86 98066
53 61 74970
18 102 41011
65 70 62874
90 92 26791
93 97 1693
80 102 5027
41 60 40671
23 85 7629
38 51 30843
21 51 63200
30 97 80522
76 103 40839
102 105 41651
39 77 69939
56 76 18173
5 95 63386
74 98 23282
74 89 20267
75 80 22602
5 80 40384
45 100 4321
70 71 39139
80 88 61517
33 66 80765
12 86 26104
72 103 31041
44 46 72200
88 104 59958
24 57 76312
77 80 41317
58 96 18337
60 62 33507
99 103 85806
62 93 50810
22 53 63599
24 29 10092
66 69 61215
62 81 61913
54 98 97152
18 57 18765
7 38 58316
28 92 7652
48 97 69143
20 104 1659
19 37 27747
7 12 30829
34 99 46887
3 94 91310
17 62 17269
13 65 89281
51 90 48187
18 68 43875
80 97 27214
57 62 92978
60 93 10982
52 101 67241
37 74 42534
9 89 19843
11 46 98673
82 88 6888
30 33 17220
41 73 14507
76 95 53319
20 98 2495
14 92 36250
100 105 30285
61 75 81120
59 85 33152
85 103 48206
14 33 64945
14 57 89494
79 81 84926
42 68 2529
20 33 8154
19 93 94047
6 105 1097
24 91 47051
68 85 46456
8 19 96152
13 78 82326
74 75 60395
19 56 48817
73 77 94141
27 94 53000
90 104 35167
7 94 40053
59 96 5886
76 104 28673
37 104 20400
24 55 36016
5 46 76286
48 50 64167
26 91 67315
47 94 66142
28 100 67702
58 62 75573
67 101 32112
52 57 92253
67 98 97746
80 101 1252
68 76 31604
65 68 42412
51 79 48532
86 106 46661
100 101 23227
10 89 17883
57 72 13175
1 19 28911
75 79 53657
60 99 28579
12 97 59192
51 72 14329
96 101 88418
67 82 65898
3 82 93023
48 62 71637
11 79 69941
30 54 37131
52 88 99501
90 106 6269
39 67 65781
69 80 46326
24 95 8443
47 50 91387
5 6 4231
31 69 83776
90 105 2014
86 95 93472
33 70 97758
45 67 64164
50 95 4748
63 80 42516
86 101 6079
60 103 38020
26 89 12847
3 29 96677
90 99 56084
25 54 51045
43 49 61935
36 83 74680
14 16 41419
25 89 805
21 83 60767
96 98 95344
17 88 62247
9 75 14315
66 75 68020
49 73 26541
43 53 28484
42 58 76984
26 104 34664
52 85 51325
12 18 851
11 76 43287
10 18 99572
79 91 29986
94 98 31597
56 66 14862
59 79 1936
73 75 22786
17 46 19638
30 40 36699
46 61 84268
9 43 23120
39 80 17881
12 75 28132
21 87 45331
27 91 51857
20 21 60404
14 85 20921
62 101 96001
16 44 30538
45 87 76295
41 105 95590
33 80 48489
15 42 3666
53 81 55615
76 106 27892
67 93 42899
23 51 29624
5 68 49457
88 94 70512
58 81 79522
18 47 76214
20 28 71411
39 65 39468
5 58 69402
60 94 18333
51 56 96751
79 105 59083
50 60 53876
90 94 11593
44 91 43889
5 71 74349
99 101 97903
8 66 47780
15 62 21825
48 77 47127
9 30 46516
45 97 77632
54 91 89720
52 99 10545
52 76 73058
72 75 13323
89 90 45871
7 18 56480
57 77 49736
24 94 66674
89 98 48745
11 17 29512
73 93 79701
9 34 9537
75 99 79051
64 102 64768
31 104 29805
1 52 1901
71 83 65041
94 97 78761
23 101 20069
35 71 5068
46 50 57300
42 86 81085
12 23 91776
14 42 60793
40 87 71069
5 83 64995
26 52 57361
30 78 5868
3 95 75679
42 84 81517
59 70 14635
73 92 46777
62 87 73659
96 100 86519
12 34 52187
24 105 47280
33 81 12789
28 50 682
53 83 6190
23 25 790
87 105 29854
7 39 94945
77 82 40677
66 82 40177
2 46 22296
59 90 49008
61 86 64437
57 87 10034
11 49 35348
5 16 28014
19 90 15069
55 71 97727
2 16 75522
49 61 11196
87 95 93328
72 100 16065
37 87 23626
16 92 63665
21 47 1802
9 100 1818
96 106 71468
56 62 70673
48 87 53158
25 98 73011
41 87 24503
68 106 52327
29 52 35342
42 87 82222
52 105 2988
26 65 53760
29 91 98906
27 80 9792
3 20 66941
58 71 95932
7 87 71725
4 37 11813
57 88 41077
40 72 57793
36 103 32755
23 94 98437
18 82 33394
23 90 98749
57 79 16041
66 93 94068
69 91 82007
14 94 29323
95 102 84917
20 60 18838
22 38 20616
17 53 76434
6 56 78785
50 91 82669
5 30 41504
65 96 18870
71 102 65034
42 91 7070
70 99 29077
39 86 77456
8 90 67626
12 100 34263
45 79 79299
76 100 86233
80 87 26542
51 86 77152
12 44 66755
93 104 41286
11 25 22698
71 94 66463
22 59 34367
32 82 37241
31 60 17733
15 39 93698
35 82 47639
62 64 15173
65 92 32979
51 65 6707
77 104 1038
18 100 45414
48 102 55088
78 99 85501
82 97 3415
58 61 54890
22 96 70020
97 104 37143
45 98 52678
57 97 58278
62 96 38893
55 60 90048
73 99 35358
87 97 82792
77 93 48149
3 52 16748
85 101 70408
67 83 31579
51 91 77384
41 62 36307
57 95 68545
77 78 49450
13 106 6899
87 92 29282
81 99 72207
72 96 42209
45 94 73397
9 65 65864
29 96 85733
30 91 97271
47 100 96102
91 101 70134
31 47 86542
81 101 60076
50 92 96178
31 95 31332
51 87 87204
58 59 26109
41 55 20819
17 66 78282
28 62 7949
83 93 11890
74 85 39700
28 103 67025
51 59 89869
80 91 7453
56 70 62873
63 94 43769
5 23 76358
28 91 19807
8 70 98085
23 45 68854
34 45 14879
76 94 70004
31 93 90180
37 66 93088
70 74 24183
36 43 1731
23 46 29601
29 103 94344
7 103 58286
20 30 20770
23 103 3624
73 81 39018
55 103 85851
96 105 36216
90 98 74416
76 86 62071
93 94 6195
67 78 36241
74 91 56029
57 76 14277
14 82 668
43 96 24071
27 92 54355
14 77 66783
63 105 49087
4 39 24858
12 54 44079
86 94 58730
36 71 80179
65 77 35332
14 70 63865
51 98 45618
1 10 1239
84 89 45909
14 53 55219
24 66 2418
58 90 60361
66 98 34972
14 95 41836
28 65 63941
54 58 50247
91 93 93137
55 94 97984
66 74 69414
95 97 74535
57 61 99908
49 99 42539
91 104 63474
46 106 64600
67 105 97095
89 106 73785
5 24 88969
37 106 48570
65 69 77410
11 35 78803
49 80 30680
5 28 42233
94 100 12355
43 67 61163
69 76 31593
25 49 47232
30 79 55547
97 102 83543
3 99 35845
79 100 29267
8 76 62122
32 35 79040
73 97 9831
37 84 8050
4 14 34294
8 31 66502
60 87 97520
89 96 49914
16 54 26956
82 106 51229
16 23 17629
79 102 95623
58 63 66800
46 55 69370
44 79 9617
94 102 67016
61 65 33453
91 98 81497
36 49 49919
7 80 17277
33 93 65217
47 105 32667
37 48 58870
73 82 40535
84 103 35428
26 62 57508
17 105 99038
7 41 24855
82 86 28108
69 71 54887
75 103 26822
91 103 86255
55 100 15235
53 94 28066
92 98 52945
17 68 5318
58 79 24076
3 92 98649
2 70 32978
75 94 59618
68 92 21455
49 100 19240
15 68 85055
29 59 84394
26 51 52369
24 35 25192
24 64 79749
80 89 27892
19 84 772
23 50 96296
80 83 1299
85 98 58061
16 96 58502
32 100 7448
77 97 1244
4 76 14378
26 81 80693
72 92 2113
14 47 43309
93 102 90571
53 92 62955
62 68 68532
50 69 36448
95 100 33916
76 101 16617
65 75 49738
18 86 14690
8 35 57524
29 85 64583
50 51 44758
38 47 89907
69 99 7887
44 72 92408
48 74 20445
24 72 33462
16 37 11390
60 92 51855
54 88 54172
59 68 54146
45 55 64347
89 92 79044
57 75 71216
68 87 20835
35 104 92782
39 69 41098
69 100 10374
31 33 63940
70 93 64717
66 79 12453
67 69 71380
70 100 38527
7 57 92397
19 86 6319
40 105 11663
80 93 74681
15 31 34297
27 89 84917
47 82 78287
37 98 564
54 74 6159
72 79 13624
78 80 13615
84 100 68441
52 100 7885
51 74 8463
39 41 79562
35 72 19685
40 93 20388
35 95 69212
45 74 72277
94 105 31022
16 24 8973
23 59 95298
62 92 45889
28 72 22408
25 61 98281
49 91 61482
15 55 57491
32 88 44412
59 73 43529
52 63 55673
25 55 82161
29 79 91791
56 104 96813
52 90 19410
84 86 34123
69 74 26887
90 100 56997
41 65 14659
82 89 43635
69 83 72361
37 91 44776
42 83 62507
66 94 78199
68 98 2897
58 70 22153
34 98 95279
32 94 76192
47 98 2562
26 49 89060
42 104 75268
40 77 11474
9 83 88168
31 81 7429
31 50 64816
50 57 44595
50 85 91613
24 88 88173
16 97 56895
45 106 70529
26 93 93532
21 43 24968
33 75 20240
33 42 43831
23 75 7664
83 88 56701
40 95 59083
3 60 68820
55 81 50574
3 8 98318
69 106 2097
47 52 45796
79 101 78913
89 100 3921
65 91 94365
96 102 10451
34 103 44489
27 35 40485
75 105 26415
92 97 49122
72 82 76204
22 49 67866
67 100 19185
48 64 89044
83 98 76035
79 88 95158
5 63 37519
24 33 41828
58 95 10345
70 102 60181
50 80 71517
89 103 81875
68 99 9636
23 77 67417
3 59 93615
36 42 94357
77 100 99099
38 53 54022
85 93 11401
37 51 90955
14 98 31425
90 102 29351
35 79 62385
39 51 87612
48 68 26377
30 76 42372
70 88 40901
9 94 89302
37 77 51684
38 75 75973
11 18 16834
69 75 32133
2 26 12293
88 97 79438
79 98 2307
26 29 73616
50 54 96680
54 67 40399
20 54 87720
65 83 62744
81 84 73603
76 78 60938
41 99 16880
28 81 25768
57 78 16760
56 83 5607
42 45 63209
88 100 96607
68 96 16535
25 33 20831
71 105 32939
9 13 3458
2 42 27335
46 88 99123
28 68 95162
41 58 59622
15 22 68983
27 93 98994
2 47 52781
60 84 94423
81 86 42246
48 86 56728
22 98 7397
62 67 76049
60 64 65442
27 77 85044
56 93 17735
61 76 37311
67 97 5036
25 62 77092
53 75 77422
28 39 54590
91 105 93387
5 101 54396
41 78 36933
60 95 28959
6 90 5285
38 71 88852
44 103 67774
13 15 51357
38 49 25185
60 72 44122
52 61 62240
63 71 88548
56 75 74647
21 96 59022
13 53 28781
99 104 58964
58 80 55467
36 48 41148
11 52 55071
49 59 58289
14 78 95822
53 76 45039
63 106 31810
21 64 98914
7 51 30097
74 95 85179
45 80 72775
50 63 23617
35 46 42640
36 89 25863
1 30 70276
79 104 26798
5 49 9639
72 91 89553
47 51 28201
21 54 46743
34 76 25936
53 69 85360
31 32 73027
75 78 61591
9 20 16195
25 101 72118
17 61 97152
9 92 53560
87 101 98321
15 27 67994
1 59 41985
61 99 22066
59 88 95746
81 102 42842
22 106 21270
47 93 72416
82 87 29916
82 105 23898
84 91 41011
28 77 8302
4 13 25337
37 47 37076
89 105 47844
5 85 17937
77 86 61206
50 52 91183
38 52 79230
22 65 70302
8 10 41998
79 86 56510
41 61 10178
6 62 77843
55 88 2451
48 83 20156
44 77 71903
9 24 252
19 21 39724
86 88 58486
87 96 47773
10 46 65281
71 79 54151
66 85 7232
93 105 53072
62 70 71070
55 73 28312
25 93 75393
58 84 18339
47 67 14960
41 91 11531
51 88 97817
40 65 93158
74 106 17243
70 103 42730
25 76 38828
6 22 19728
60 97 72572
50 75 25484
44 56 81547
25 92 19401
60 106 91108
18 50 46689
51 60 56343
11 62 73857
5 82 80608
32 66 40359
12 96 77797
41 46 57508
5 73 81659
32 89 67628
43 77 58245
35 90 14411
29 98 39236
61 89 13397
83 89 5091
67 86 50792
63 66 67762
73 91 61196
45 65 67643
97 100 77629
8 60 52785
90 101 70685
28 33 47204
25 65 49022
47 62 53058
19 66 56267
52 106 28118
1 37 64869
10 26 19764
29 104 70634
86 99 79579
48 101 53316
82 96 50806
4 102 75448
87 103 58508
11 81 86534
4 38 99668
93 101 68146
73 78 39178
92 100 52419
58 83 92453
34 36 27266
18 37 3584
20 42 69762
35 89 60353
55 74 66013
49 67 94946
33 49 56492
65 85 24487
65 103 56164
34 102 32257
25 40 17766
24 75 51366
12 88 42892
59 84 87048
59 63 28502
80 105 49440
53 80 4494
67 73 8071
14 84 38259
61 93 66740
76 79 50175
53 55 60922
81 96 97770
36 45 56743
30 83 92535
40 91 43997
45 95 6501
83 87 72979
58 101 45369
69 72 42784
1 82 5578
62 79 55848
38 83 17407
45 73 83877
62 104 32201
83 86 94873
53 102 57675
50 99 67211
54 82 61270
10 35 12079
62 88 9498
69 77 73807
54 99 89733
56 85 7364
65 89 69201
18 104 78936
4 51 24096
60 89 81909
50 86 48106
9 27 48904
43 54 76095
34 67 49419
40 99 16053
22 103 9341
88 101 27549
16 38 21277
9 101 97951
70 96 64513
44 62 35495
64 92 61055
48 93 91207
26 39 20595
60 73 53528
6 31 70614
41 75 39585
38 42 17950
86 90 4838
18 44 54943
32 73 55587
2 100 14139
14 101 65253
45 58 45990
44 57 57397
21 37 70446
3 81 75846
9 84 32609
83 96 78834
64 97 31737
55 91 4736
74 76 50059
51 73 96339
2 11 1850
98 103 42549
65 82 83563
19 27 50796
62 95 18348
15 54 62768
8 36 30162
60 74 5639
76 83 99194
64 67 45712
34 59 52274
9 19 57311
44 92 40998
65 102 9523
46 94 46131
46 73 20743
85 92 45872
92 99 70500
15 41 38338
23 74 84701
66 67 48376
19 73 73569
37 73 38464
55 76 71888
5 20 15836
47 81 31649
51 82 57889
96 97 5326
75 91 55482
39 66 88144
39 59 13499
17 23 2884
3 73 15604
60 101 11808
23 53 46269
44 93 60018
51 58 48476
81 82 72585
4 81 4578
9 80 28704
8 68 1200
25 46 49242
49 52 50876
39 83 57766
62 97 59503
39 40 73304
28 56 49733
22 40 98550
1 17 18567
87 94 83114
71 76 58930
36 86 78480
13 19 15867
13 71 56546
52 70 46857
4 83 8457
27 81 3393
94 95 13742
8 64 62131
36 90 78894
3 64 90245
2 22 61245
37 76 73306
37 80 34305
25 77 26958
47 104 69436
52 78 51399
31 44 9281
87 91 36171
39 95 80654
2 97 85153
97 101 84631
58 92 86217
4 19 36109
67 79 74368
6 102 65202
80 103 17422
24 93 79341
27 49 54701
22 56 53189
11 13 58546
24 39 50763
45 48 77834
50 102 94615
64 91 58224
63 81 382
62 105 97564
82 92 97526
21 80 84065
55 106 13082
73 85 72759
48 53 29086
32 54 33208
84 85 67577
35 103 12811
26 38 21478
21 33 544
27 31 27115
42 67 32320
43 95 17714
70 90 70511
32 84 96390
57 99 68296
86 103 64277
45 72 8830
44 59 82285
48 106 87286
33 78 38149
72 84 70924
41 68 73185
48 82 10226
47 55 11572
1 7 2836
36 79 84296
74 90 85403
48 76 25066
32 86 66993
38 106 12757
75 95 54606
29 33 86902
13 84 94886
34 87 40675
57 105 39725
72 97 39371
69 82 46975
3 106 96581
33 83 54856
32 74 28686
67 84 6918
10 43 18785
38 79 48271
16 35 4142
99 105 13613
15 29 84316
25 102 85248
43 46 84200
1 83 99732
4 78 14271
69 85 19290
8 45 10010
29 74 19158
68 74 66949
58 94 52854
61 80 13881
7 45 85635
85 100 93721
49 72 77341
28 80 25751
14 30 58215
22 77 4547
4 65 73995
24 54 45998
69 88 7682
18 78 98196
16 91 13904
7 47 46566
34 88 62498
85 88 35221
1 105 10507
66 97 69086
71 96 5501
26 106 11331
93 106 90645
25 94 35982
25 69 41064
15 88 74874
